order_id,distance_km,delivery_time_min,order_value_sgd,vehicle_type,traffic_level,weather,time_of_day,area,customer_rating
SG10001,6.5,40,37.18,Car,Low,Clear,Evening,Central,4.7
SG10002,8.5,45,32.93,Bicycle,Low,Clear,Evening,North-East,
SG10003,5.8,39,77.56,Bicycle,Medium,Clear,Morning,Central,3.8
SG10004,5.3,35,35.94,Motorcycle,Low,,Morning,North,4.8
SG10005,9.2,50,30.41,Bicycle,Low,Cloudy,Evening,West,4.3
SG10006,5.6,48,50.93,Car,High,N/A,Afternoon,East,4.4
SG10007,7.2,40,9.84,Motorcycle,Medium,Cloudy,Night,Central,4.4
SG10008,6.8,47,34.65,Motorcycle,Medium,Clear,Evening,North,4.6
SG10009,9.2,41,61.28,Motorcycle,Low,Rainy,Afternoon,Central,5
SG10010,4.7,33,30.27,Motorcycle,Medium,Clear,Evening,Central,4.7
SG10011,11.1,39,14.36,Bicycle,N/A,Cloudy,Night,North,4.8
SG10012,4,36,26.04,Motorcycle,Medium,Clear,Afternoon,East,5
SG10013,7.5,42,52.91,Motorcycle,Low,Cloudy,Evening,East,4.4
SG10014,7,53,38.47,Bicycle,High,Clear,Night,Central,
SG10015,3.8,46,20.1,Bicycle,High,Rainy,Afternoon,North-East,4.5
SG10016,7.9,47,25.4,Bicycle,Low,Clear,Night,East,5
SG10017,5,36,24.69,Bicycle,Low,Rainy,Morning,Central,5
SG10018,3,33,35.07,Bicycle,Low,Clear,Evening,East,5
SG10019,8.5,65,52.2,Bicycle,Medium,Rainy,Evening,Central,4.1
SG10020,2.3,34,43.5,Bicycle,Low,Rainy,Evening,East,4.5
SG10021,3.4,45,36.61,Motorcycle,High,Rainy,Afternoon,Central,4.6
SG10022,5.8,55,15.31,Bicycle,High,Clear,Evening,Central,4.7
SG10023,9.2,66,18.06,Motorcycle,High,Clear,Morning,East,4.1
SG10024,8.2,42,41.48,Bike,Medium,Clear,Morning,North-East,4.5
SG10025,6.5,55,15.67,Motorcycle,High,Clear,Afternoon,Central,4.2
SG10026,1.8,37,26.51,Car,Low,Cloudy,Evening,Central,
SG10027,3.9,47,35.05,Bicycle,Medium,Rainy,Afternoon,North-East,5
SG10028,4.4,36,16.76,Motorcycle,Medium,Rainy,Afternoon,North-East,4.5
SG10029,2.9,48,16.99,Bicycle,High,RAINY,Night,North,4.2
SG10030,1.5,20,27.97,Motorcycle,Medium,Cloudy,Afternoon,Central,5
SG10031,6,67,39.31,Bicycle,High,Rainy,Afternoon,East,4.8
SG10032,8.3,51,48.47,Bicycle,Low,Rainy,Afternoon,Central,4.9
SG10033,4.2,31,39.27,Bicycle,High,Clear,Morning,Central,4.3
SG10034,9.1,54,36.22,Bicycle,Medium,Cloudy,Evening,East,4.2
SG10035,2.1,38,19.97,Motorcycle,Medium,N/A,Afternoon,West,4.3
SG10036,2.8,35,16.29,Motorcycle,High,N/A,Morning,East,4.7
SG10037,5.9,41,26.06,Car,Medium,Clear,Night,West,5
SG10038,4,N/A,36.52,Bicycle,Medium,Rainy,Evening,East,3.9
SG10039,7.9,47,38.72,Motorcycle,Medium,Rainy,Evening,East,3.8
SG10040,7.2,46,7,Motorcycle,Low,,Evening,North,4.2
SG10041,4.2,38,21.13,Motorcycle,Medium,Rainy,Night,North-East,4.8
SG10042,2.2,20,45.44,Motorcycle,Low,Clear,Afternoon,East,5
SG10043,3.9,36,32.13,Motorcycle,Low,Clear,Evening,West,5
SG10044,7.3,51,15.39,Motorcycle,High,Cloudy,Evening,East,N/A
SG10045,8.1,50,65.12,Car,Medium,Cloudy,Afternoon,Central,3.7
SG10046,4,32,30.82,Motorcycle,Medium,Clear,Afternoon,North,5
