Entity,Code,Year,Share of the population that was born in another country,Total number of international immigrants,GDP per capita
Afghanistan,AFG,2000,0.3771275,75917,1617.8264
Afghanistan,AFG,2005,0.3577773,87314,1908.1147
Afghanistan,AFG,2010,0.3616026,102276,2848.5862
Afghanistan,AFG,2015,1.0032939,339432,2967.6921
Afghanistan,AFG,2020,0.3688297,144098,2769.6858
Afghanistan,AFG,2024,0.2300487,98110,
Albania,ALB,2000,2.4223442,76695,6581.639
Albania,ALB,2005,2.10454,64739,8963.804
Albania,ALB,2010,1.8022878,52784,11828.375
Albania,ALB,2015,1.7950191,52031,13156.332
Albania,ALB,2020,1.6995398,48810,14662.796
Albania,ALB,2024,1.6612072,46377,18919.807
Algeria,DZA,2000,0.8093155,250110,11558.221
Algeria,DZA,2005,0.59719867,197728,13738.496
Algeria,DZA,2010,0.6003829,217268,14496.421
Algeria,DZA,2015,0.59839034,239473,15239.518
Algeria,DZA,2020,0.56849706,250378,14194.155
Algeria,DZA,2024,0.554228,259458,15442.124
Argentina,ARG,2000,4.1485777,1543851,22281.38
Argentina,ARG,2005,4.18586,1641560,23262.408
Argentina,ARG,2010,4.358772,1799680,28056.258
Argentina,ARG,2015,4.2703323,1856613,28669.207
Argentina,ARG,2020,4.231491,1912294,23877.094
Argentina,ARG,2024,4.2849092,1958039,26547.05
Armenia,ARM,2000,18.819962,588242,4589.0083
Armenia,ARM,2005,15.860157,476812,8362.9
Armenia,ARM,2010,7.1943836,210873,10438.564
Armenia,ARM,2015,6.5349,190896,13112.76
Armenia,ARM,2020,7.165228,207139,15052.936
Armenia,ARM,2024,9.235366,274645,20078.785
Australia,AUS,2000,22.944485,4389847,45013.01
Australia,AUS,2005,24.050474,4880921,49914.516
Australia,AUS,2010,26.555475,5879802,52589.816
Australia,AUS,2015,28.115314,6733056,55691.7
Australia,AUS,2020,29.540522,7604850,57059.742
Australia,AUS,2024,30.364773,8111404,60082.004
Austria,AUT,2000,11.482008,920045,53599.61
Austria,AUT,2005,14.267491,1174101,56959.637
Austria,AUT,2010,15.369897,1285706,59803.37
Austria,AUT,2015,17.821367,1540486,61026.0
Austria,AUT,2020,19.96374,1781046,60349.902
Austria,AUT,2024,25.513779,2327064,63314.46
Azerbaijan,AZE,2000,6.4040585,523518,5656.9297
Azerbaijan,AZE,2005,3.5118446,301922,10054.101
Azerbaijan,AZE,2010,2.7486727,251417,19925.39
Azerbaijan,AZE,2015,2.30022,224337,20678.754
Azerbaijan,AZE,2020,1.9534402,198894,19126.098
Azerbaijan,AZE,2024,2.1134655,218460,22072.105
Bahrain,BHR,2000,35.682613,238924,57968.996
Bahrain,BHR,2005,41.56008,387591,53478.266
Bahrain,BHR,2010,52.998985,643007,50704.848
Bahrain,BHR,2015,52.68061,721540,54149.914
Bahrain,BHR,2020,52.996777,785983,53814.246
Bahrain,BHR,2024,52.282288,840202,59129.14
Bangladesh,BGD,2000,0.73422134,987853,2712.935
Bangladesh,BGD,2005,0.7340388,1062270,3231.6138
Bangladesh,BGD,2010,0.8840529,1345546,4125.464
Bangladesh,BGD,2015,0.8923018,1422179,5352.7114
Bangladesh,BGD,2020,1.2720584,2115408,7015.1978
Bangladesh,BGD,2024,1.6745209,2906338,8486.785
Belgium,BEL,2000,10.502397,1076676,50477.992
Belgium,BEL,2005,11.865307,1243352,54370.87
Belgium,BEL,2010,14.333845,1567639,56265.016
