hours_studied_weekly,attendance_pct,previous_exam_score,practice_tests_completed,sleep_hours,tutoring_sessions,assignment_completion_pct,class_participation,passed
4.5,79,58,0,7.3,2,63,4,0
3.3,73,60,4,8,2,70,4,0
3.3,79,53,1,6.2,1,57,5,0
3.3,65,43,4,7.6,2,65,3,0
14.5,88,66,3,5.5,0,71,4,1
6.3,56,60,2,6.7,2,61,1,0
11.5,75,72,3,8.3,0,65,2,1
9.6,85,70,6,5,0,89,2,1
9.1,66,82,2,6.9,1,68,5,1
5.6,81,77,4,6.4,2,81,4,1
4.8,62,70,4,7.3,2,89,2,0
5.7,64,71,5,7.2,2,64,3,0
0,78,75,5,5.6,2,66,3,1
5.8,81,70,7,6.2,3,63,3,1
1.5,53,48,3,5.4,3,72,3,0
4.3,76,46,4,5.5,5,76,3,1
9.3,79,59,3,7.3,1,100,5,1
5.4,58,42,0,5.5,0,66,5,0
6.1,55,63,4,8,2,70,4,0
7.7,84,49,3,7.1,0,86,3,1
4.7,82,87,4,7,0,50,1,0
5,83,44,0,6.6,3,52,4,0
11.2,72,70,3,6.8,0,75,4,0
10,92,54,2,6.9,1,96,2,1
6.6,95,89,6,7.6,0,84,3,1
10.3,76,54,1,7.8,0,64,5,1
9,56,56,1,6.5,3,66,4,0
7.8,66,41,2,7.7,3,64,2,0
3.2,80,65,5,6.5,1,70,4,1
2.3,90,60,3,6.9,2,75,3,1
8.9,69,61,7,6.9,0,68,3,0
10.4,72,63,4,5.5,1,85,3,1
4.7,82,62,2,7,2,47,2,0
5.5,95,73,5,6.5,1,61,3,1
5.8,63,72,0,7.1,0,72,1,0
8.3,76,95,3,7.8,3,70,3,1
5.6,60,73,1,5.9,3,69,3,0
10,66,66,5,5.6,3,72,4,1
9,77,41,4,7.5,0,67,4,0
2.2,71,75,2,6.2,0,69,4,0
5.4,68,45,7,7.5,2,66,3,0
6,88,59,3,7.6,3,63,3,1
0.6,87,63,4,5.6,0,72,2,1
6.4,80,67,0,6,3,100,4,0
8,80,40,1,8,1,100,3,0
4.4,80,42,1,6,0,70,3,0
7.6,49,35,6,5.8,0,56,4,0
6.3,65,48,6,6.2,1,74,3,0
12.2,89,75,3,6.6,2,73,5,1
10,63,63,1,7.9,0,70,2,0
8.9,100,40,5,7.7,4,97,5,1
5.7,61,47,0,7.1,1,83,2,0
3.7,100,51,4,8.2,2,80,5,1
11.1,78,66,8,6.8,1,78,5,1
11.1,88,52,3,8,2,77,5,1
9.7,67,76,1,7.8,2,39,1,0
5.2,73,86,3,7.6,1,79,3,0
10.3,68,77,4,8.2,2,100,3,1
7.1,82,78,5,6.3,2,73,5,1
4.3,77,77,0,7.3,0,58,2,0
7.7,64,63,4,6.3,1,86,3,0
3,75,69,2,7.3,2,60,2,0
12.1,86,56,6,6.2,0,91,4,1
5.5,78,52,4,6.3,2,68,1,1
7.9,86,61,1,6.1,3,74,1,0
4.5,70,74,3,6.4,2,56,1,0
11.2,71,61,6,6.5,2,80,2,1
3.4,84,83,2,6.3,1,79,2,0
6.1,68,59,3,6.8,0,95,4,0
8.1,87,71,4,7.7,2,71,2,1
5.7,87,69,3,7.7,0,87,4,0
9.9,95,62,2,7.2,3,82,5,1
2.7,75,64,4,8,0,85,2,0
7.2,84,79,1,5.8,1,70,3,1
11.1,82,51,4,6.8,0,77,4,1
1.7,88,80,4,7.3,1,71,4,0
9,82,49,6,6.9,0,100,3,1
4.5,73,71,5,8,2,71,3,0
2.1,77,64,0,7,2,55,1,0
0.2,84,73,1,8.4,0,49,1,0
4.6,48,55,3,7.7,0,78,3,0
7.3,86,60,3,8,2,92,5,1
6.1,84,74,1,7,3,84,3,1
9.3,75,59,5,7.8,2,84,4,0
6.9,61,72,3,5.9,2,55,4,0
1.4,98,72,2,5.6,2,80,3,0
6.2,80,72,2,8.5,2,62,3,1
5.8,76,62,3,6,1,69,5,0
8.3,93,57,2,7.8,2,89,5,1
11.6,79,63,0,5.9,1,76,4,0
10.6,82,47,2,6,0,47,2,0
11.3,79,84,2,6.3,0,92,2,1
5.7,71,53,1,5.8,2,75,1,0
6.7,89,57,0,6.8,1,62,4,0
3.6,61,56,0,6.9,3,60,3,0
6.7,72,64,0,7.7,1,100,3,0
10.2,75,60,4,6.2,4,70,3,1
7.7,69,43,1,6.7,5,53,2,1
13.8,88,71,1,7.7,1,89,3,1
5,64,46,7,6.8,2,77,3,1
8.9,87,64,3,8.1,5,100,3,1
10.9,71,56,5,6.4,4,74,2,1
11.7,95,78,4,5.7,0,89,3,1
0.5,68,70,4,6.7,5,65,3,1
5.5,67,49,2,5.6,1,35,3,0
7.7,71,74,3,7.8,1,68,3,1
13.8,81,69,6,5.7,0,86,2,1
5.5,60,54,1,5.7,0,41,3,0
11.1,66,47,2,6.9,0,84,3,0
3.2,67,58,6,7.9,2,65,3,0
4.4,80,47,0,5.5,1,88,4,0
7.8,73,68,7,7.6,1,88,3,1
5.5,85,54,7,7.6,0,90,4,1
3.2,74,69,5,4.4,2,70,3,1
6.4,71,84,4,6.1,2,69,5,1
8.1,52,59,4,5,1,81,1,0
8.5,61,73,1,5.6,3,65,3,0
10.1,64,76,4,7.1,0,99,2,1
10.6,81,33,8,6.9,0,75,4,1
6.1,77,51,2,6.4,2,82,5,0
7,88,57,3,5.8,0,80,4,1
8.7,69,77,5,8.7,0,100,4,1
8.2,65,74,2,7.5,0,63,3,0
8,79,83,5,7.1,0,99,5,1
6.2,88,59,3,9,2,89,4,1
12.5,87,67,7,5.9,0,72,5,1
14.8,100,53,4,7.1,0,72,3,0
8.7,67,60,3,8.4,1,65,4,0
2.3,80,69,2,7.2,0,97,3,1
11.2,88,33,1,5.8,0,86,2,0
4.2,88,50,5,8.3,0,74,3,0
10.3,85,52,3,6.2,0,83,4,1
11.3,98,45,2,7.6,1,71,4,1
1.4,53,51,3,5.9,0,62,4,0
10.3,84,81,4,7.1,1,74,3,1
4.1,92,55,4,5.5,1,84,4,0
13.6,64,51,2,7.1,0,79,2,0
6.3,73,58,5,5.6,0,79,1,0
7.2,60,58,6,8.9,2,58,2,0
5.2,74,44,4,6.9,0,54,2,0
8.2,83,65,2,6.4,1,73,2,0
9.6,93,52,1,6.4,1,54,4,0
4.4,79,58,9,7.3,0,94,4,1
2.4,68,44,0,4.6,3,38,3,0
7.5,87,55,4,7.9,4,61,3,1
6.3,53,47,2,6.3,0,55,3,0
2.4,76,47,3,7.9,4,84,3,1
3.6,51,49,0,6.4,0,81,3,0
8,54,61,0,6.3,1,67,2,0
6.5,99,58,0,5.8,1,78,3,0
7.5,55,64,4,6.7,1,76,3,1
3.5,80,81,4,5.5,0,81,3,1
5.7,75,54,3,5.3,2,71,3,0
6.1,77,74,5,6.2,1,100,3,1
6.8,77,62,5,8.3,1,76,4,0
11.2,85,44,3,7.9,4,82,4,1
2.8,69,56,4,7.2,0,70,2,0
3.5,72,71,4,6.4,2,56,2,1
10.7,87,55,5,6.9,5,96,2,1
9.7,66,70,0,6.6,4,39,4,1
10.2,81,77,2,5.2,0,62,2,0
5.2,75,57,2,7.2,2,95,3,0
7.9,79,75,8,7.3,1,63,3,1
3,63,66,2,5.3,3,67,4,0
7.9,77,56,2,5.7,1,84,3,0
3.4,88,57,4,7.6,1,72,4,0
5,90,83,1,6.5,2,59,2,1
6.9,82,64,1,7.3,1,80,3,0
6.8,90,43,0,6.8,0,55,5,0
12.7,57,70,3,8.5,2,87,4,1
6.3,75,54,6,8.2,2,60,3,1
5.5,91,69,3,7.2,4,85,1,1
0,86,64,0,6.8,0,90,4,1
9.3,70,50,4,6.2,4,79,2,0
4.3,80,80,8,6.7,3,88,4,1
4.1,52,58,3,4.6,2,56,3,0
3.5,79,84,6,6.6,0,80,4,1
9.6,69,67,2,4.9,1,54,2,0
6.9,76,67,2,7.1,2,52,3,0
3.9,84,55,3,6.4,3,77,3,1
6.3,71,60,6,6,0,67,1,1
2.5,67,61,4,5.1,1,77,2,0
9.5,89,82,5,6,3,72,4,1
2,79,59,6,6.2,0,66,4,0
10.5,69,61,2,8.5,2,81,3,0
10.8,77,54,1,8.1,1,76,3,0
11.9,99,52,0,7.2,1,100,2,0
12.6,82,35,3,5.3,1,71,1,1
9.6,87,59,6,6.4,0,85,3,1
5.8,48,56,1,8,0,77,1,0
3.5,72,43,3,4.9,4,82,4,0
8.2,63,75,2,8.3,1,65,4,0
5,96,63,1,5.1,1,98,5,1
5.5,63,48,0,6.9,1,58,4,0
11.7,72,79,5,6.9,0,62,2,1
1.8,100,58,2,7.1,2,78,3,0
2.2,56,64,5,5.6,0,94,1,0
7.7,81,58,2,5,4,78,4,1
5.3,69,71,3,6.1,3,69,2,0
9.2,81,65,5,8.4,2,66,4,1
8.7,82,31,1,7.5,0,74,2,0
8.2,62,56,2,4.9,1,61,3,0
10.9,100,61,6,6.3,1,85,3,1
0,76,56,0,7.3,3,51,2,0
10.2,87,70,5,5.6,1,79,5,1
7.5,82,30,9,5.7,1,63,5,0
4.6,68,44,4,7.5,0,100,2,0
8.2,71,58,2,7.6,0,70,3,0
9.4,73,79,2,8.5,0,71,4,1
1.7,88,73,5,6.7,3,64,4,1
3.6,58,84,3,5.4,0,61,3,0
14.8,81,50,1,5.1,0,90,3,1
2,87,56,4,6.2,3,98,3,1
12,59,61,2,5.8,2,56,4,0
3.9,74,65,4,8.2,3,65,3,0
2.6,65,54,2,5.1,1,88,3,0
9.3,87,60,1,5.8,3,71,2,1
10.2,75,40,4,6.9,3,83,3,0
2.8,74,93,5,7.3,1,82,2,1
8.4,74,43,3,7.8,1,61,4,1
8.9,100,45,1,6.8,0,75,5,0
5.7,71,68,1,8.2,0,58,3,0
8.2,70,41,4,7.2,3,87,3,1
